pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889C3UnorderedGesture,visible,2,3,1543426694932,1543426696661,0
P01,CS889C3UnorderedGesture,visible,2,4,1543426697270,1543426708244,0
P01,CS889C3UnorderedGesture,visible,2,5,1543426708630,1543426709717,0
P01,CS889C3UnorderedGesture,visible,2,6,1543426710281,1543426712846,0
P01,CS889C3UnorderedGesture,visible,2,7,1543426713320,1543426714702,0
P01,CS889C3UnorderedGesture,visible,2,8,1543426715050,1543426716275,0
P01,CS889C3UnorderedGesture,visible,2,9,1543426716770,1543426717739,0
P01,CS889C3UnorderedGesture,visible,2,10,1543426718313,1543426719583,0
P01,CS889C3UnorderedGesture,visible,2,11,1543426720123,1543426723633,0
P01,CS889C3UnorderedGesture,visible,2,12,1543426724065,1543426726257,0
P01,CS889C3UnorderedGesture,visible,2,13,1543426726624,1543426733057,0
P01,CS889C3UnorderedGesture,visible,2,14,1543426733560,1543426734820,0
P01,CS889C3UnorderedGesture,visible,2,15,1543426735348,1543426741923,0
P01,CS889C3UnorderedGesture,visible,2,16,1543426742462,1543426744732,0
P01,CS889C3UnorderedGesture,visible,2,17,1543426745233,1543426749580,0
P01,CS889C3UnorderedGesture,visible,2,18,1543426750014,1543426757057,0
P01,CS889C3UnorderedGesture,visible,2,19,1543426757485,1543426758843,0
P01,CS889C3UnorderedGesture,visible,2,20,1543426759306,1543426765222,0
P01,CS889C3UnorderedGesture,visible,2,21,1543426765785,1543426767265,0
P01,CS889C3UnorderedGesture,visible,2,22,1543426767694,1543426770909,0
P01,CS889C3UnorderedGesture,visible,2,23,1543426771325,1543426773176,0
P01,CS889C3UnorderedGesture,visible,2,24,1543426773492,1543426800542,1
P01,CS889C3UnorderedGesture,visible,2,25,1543426801126,1543426803151,0
P01,CS889C3Gesture,practice,0,0,1543426848338,1543426853913,0
P01,CS889C3Gesture,practice,0,1,1543426864780,1543426868234,1
P01,CS889C3Gesture,practice,0,2,1543426869225,1543426871072,0
P01,CS889C3Gesture,practice,0,3,1543426871880,1543426872836,0
P01,CS889C3Gesture,practice,0,4,1543426873601,1543426875038,0
P01,CS889C3Gesture,practice,0,5,1543426875734,1543426879494,0
P01,CS889C3Gesture,practice,0,6,1543426880496,1543426882216,0
P01,CS889C3Gesture,practice,0,7,1543426883043,1543426883823,0
P01,CS889C3Gesture,practice,0,8,1543426884513,1543426885961,0
P01,CS889C3Gesture,practice,0,9,1543426886703,1543426888997,0
P01,CS889C3Gesture,practice,0,10,1543426889960,1543426890787,0
P01,CS889C3Gesture,practice,0,11,1543426891494,1543426892496,0
P01,CS889C3Gesture,practice,0,12,1543426893093,1543426893849,0
P01,CS889C3Gesture,practice,0,13,1543426894433,1543426895641,0
P01,CS889C3Gesture,practice,0,14,1543426898178,1543426898904,1
P01,CS889C3Gesture,practice,0,15,1543426899686,1543426900199,0
P01,CS889C3Gesture,practice,0,16,1543426901123,1543426902961,0
P01,CS889C3Gesture,practice,0,17,1543426903771,1543426905018,0
P01,CS889C3Gesture,practice,0,18,1543426905938,1543426908033,0
P01,CS889C3Gesture,practice,0,19,1543426908842,1543426910263,0
P01,CS889C3Gesture,practice,0,20,1543426910785,1543426912656,0
P01,CS889C3Gesture,practice,0,21,1543426913963,1543426914867,0
P01,CS889C3Gesture,practice,0,22,1543426915882,1543426916488,0
P01,CS889C3Gesture,practice,0,23,1543426917275,1543426918343,0
P01,CS889C3Gesture,practice,0,24,1543426919063,1543426919761,0
P01,CS889C3Gesture,practice,0,25,1543426920905,1543426922461,0
P01,CS889C3Gesture,visible,0,0,1543426928729,1543426929411,0
P01,CS889C3Gesture,visible,0,1,1543426930098,1543426931299,0
P01,CS889C3Gesture,visible,0,2,1543426931830,1543426933482,0
P01,CS889C3Gesture,visible,0,3,1543426934369,1543426934952,0
P01,CS889C3Gesture,visible,0,4,1543426935821,1543426936371,0
P01,CS889C3Gesture,visible,0,5,1543426937464,1543426938702,0
P01,CS889C3Gesture,visible,0,6,1543426939251,1543426940182,0
P01,CS889C3Gesture,visible,0,7,1543426940967,1543426942213,0
P01,CS889C3Gesture,visible,0,8,1543426942844,1543426943821,0
P01,CS889C3Gesture,visible,0,9,1543426944980,1543426945507,0
P01,CS889C3Gesture,visible,0,10,1543426946431,1543426947227,0
P01,CS889C3Gesture,visible,0,11,1543426947915,1543426948622,0
P01,CS889C3Gesture,visible,0,12,1543426949144,1543426950369,0
P01,CS889C3Gesture,visible,0,13,1543426950909,1543426952111,0
P01,CS889C3Gesture,visible,0,14,1543426952764,1543426953620,0
P01,CS889C3Gesture,visible,0,15,1543426957905,1543426959184,1
P01,CS889C3Gesture,visible,0,16,1543426960068,1543426960723,0
P01,CS889C3Gesture,visible,0,17,1543426961354,1543426961815,0
P01,CS889C3Gesture,visible,0,18,1543426962358,1543426963969,0
P01,CS889C3Gesture,visible,0,19,1543426964614,1543426965231,0
P01,CS889C3Gesture,visible,0,20,1543426966150,1543426967373,0
P01,CS889C3Gesture,visible,0,21,1543426968229,1543426968830,0
P01,CS889C3Gesture,visible,0,22,1543426970193,1543426970745,0
P01,CS889C3Gesture,visible,0,23,1543426971510,1543426972036,0
P01,CS889C3Gesture,visible,0,24,1543426972712,1543426973237,0
P01,CS889C3Gesture,visible,0,25,1543426973986,1543426974582,0
P01,CS889C3Gesture,visible,1,0,1543426980219,1543426980869,0
P01,CS889C3Gesture,visible,1,1,1543426981380,1543426982452,0
P01,CS889C3Gesture,visible,1,2,1543426983134,1543426983667,0
P01,CS889C3Gesture,visible,1,3,1543426984307,1543426984835,0
P01,CS889C3Gesture,visible,1,4,1543426985424,1543426985918,0
P01,CS889C3Gesture,visible,1,5,1543426986552,1543426987940,0
P01,CS889C3Gesture,visible,1,6,1543426989215,1543426990187,0
P01,CS889C3Gesture,visible,1,7,1543426990953,1543426991461,0
P01,CS889C3Gesture,visible,1,8,1543426992115,1543426992733,0
P01,CS889C3Gesture,visible,1,9,1543426993591,1543426994608,0
P01,CS889C3Gesture,visible,1,10,1543426995176,1543426996073,0
P01,CS889C3Gesture,visible,1,11,1543426996774,1543426997323,0
P01,CS889C3Gesture,visible,1,12,1543426997991,1543426998599,0
P01,CS889C3Gesture,visible,1,13,1543426999252,1543427000231,0
P01,CS889C3Gesture,visible,1,14,1543427000860,1543427001329,0
P01,CS889C3Gesture,visible,1,15,1543427004190,1543427004718,1
P01,CS889C3Gesture,visible,1,16,1543427005652,1543427006159,0
P01,CS889C3Gesture,visible,1,17,1543427007385,1543427008115,0
P01,CS889C3Gesture,visible,1,18,1543427008873,1543427009422,0
P01,CS889C3Gesture,visible,1,19,1543427010178,1543427010987,0
P01,CS889C3Gesture,visible,1,20,1543427011775,1543427012782,0
P01,CS889C3Gesture,visible,1,21,1543427013923,1543427014550,0
P01,CS889C3Gesture,visible,1,22,1543427015409,1543427016401,0
P01,CS889C3Gesture,visible,1,23,1543427017396,1543427018021,0
P01,CS889C3Gesture,visible,1,24,1543427018838,1543427019452,0
P01,CS889C3Gesture,visible,1,25,1543427020108,1543427020649,0
P01,CS889C3Gesture,visible,2,0,1543427025506,1543427026055,0
P01,CS889C3Gesture,visible,2,1,1543427026665,1543427027292,0
P01,CS889C3Gesture,visible,2,2,1543427028040,1543427028755,0
